id,table,diagnosisYear,ageSpecificIncidenceAge0_49,ageSpecificIncidenceAge50_54,ageSpecificIncidenceAge55_59,ageSpecificIncidenceAge60_64,ageSpecificIncidenceAge65_69,ageSpecificIncidenceAge70_74,ageSpecificIncidenceAge75_79,ageSpecificIncidenceAge80_84,ageSpecificIncidenceAge85_89,ageSpecificIncidenceAge90
873,IMD4/North East,2017,1.9107215,10.206164,17.425854,11.501304,7.6828518,0,0,0,0,0
874,IMD4/North East,2018,0.96186215,6.9596686,6.847908,18.763838,11.811489,4.0202622,0,8.0032015,0,28.59594
875,IMD4/North East,2019,31.698917,412.16602,339.13251,444.68945,449.87659,297.57245,270.63599,208.78441,94.773895,135.31799
876,IMD4/North East,2020,32.037487,361.98764,408.57333,401.50473,413.25598,327.8815,270.8345,122.82183,119.68085,131.89133
877,IMD4/North East,2021,20.582014,276.49133,493.92096,620.79041,522.77118,462.89993,316.12222,274.1134,178.35094,159.85385
878,IMD4/North East,2022,1.3993582,0,13.376584,0,0,0,0,0,0,0
879,IMD4/North East,2023,0.46645272,3.7300906,6.688292,6.8958383,11.574967,0,0,0,0,0
880,,,,,,,,,,,,
881,IMD4/North West,All Years,,,,,,,,,,
882,IMD4/North West,2016,0.58821106,0,2.322206,3.8701687,4.6151538,1.4533616,0,2.6724391,0,0
883,IMD4/North West,2017,0.59072155,3.1213584,5.6597581,3.8081698,2.4534459,0,0,0,0,0
884,IMD4/North West,2018,0.29627523,2.0908256,2.2067018,6.2868567,3.8174739,1.2598425,0,2.5311971,0,8.0431108
885,IMD4/North West,2019,9.7906723,122.65527,107.53035,149.47314,146.62186,93.936172,80.803825,65.890625,29.813877,38.565369
886,IMD4/North West,2020,9.9607372,106.14573,128.53336,134.11952,137.09645,103.99207,81.038643,38.642677,37.86763,37.947784
887,IMD4/North West,2021,7.0315886,86.362312,154.306,190.01726,159.74211,144.09222,100.92703,89.166298,58.463753,56.125721
888,IMD4/North West,2022,0.44898418,0,4.1744065,0,0,0,0,0,0,0
889,IMD4/North West,2023,0.14966139,1.0972973,2.0872033,2.2753129,3.9104252,0,0,0,0,0
890,,,,,,,,,,,,
891,IMD4/South East,All Years,,,,,,,,,,
892,IMD4/South East,2016,0.31106883,0,1.4349982,2.4536667,3.0518975,0.94681728,0,1.6737802,0,0
893,IMD4/South East,2017,0.31204194,1.8532361,3.4889643,2.4102774,1.6219153,0,0,0,0,0
894,IMD4/South East,2018,0.15609805,1.2364454,1.3543895,3.9450221,2.5092423,0.82058012,0,1.6015631,0,4.1382165
895,IMD4/South East,2019,5.159265,72.069382,65.841019,93.277107,96.012505,61.412651,53.285145,41.971741,17.18424,19.931437
896,IMD4/South East,2020,5.2445569,62.431812,78.213654,83.491287,88.660797,67.847481,53.34993,24.489546,22.041536,19.700552
897,IMD4/South East,2021,3.9126749,54.154678,99.453354,123.57845,106.95702,99.444283,70.509888,60.408131,39.923836,37.731781
898,IMD4/South East,2022,0.24091586,0,2.5444968,0,0,0,0,0,0,0
899,IMD4/South East,2023,0.080305286,0.65481025,1.2722484,1.4490548,2.5366333,0,0,0,0,0
900,,,,,,,,,,,,
901,IMD4/South West,All Years,,,,,,,,,,
902,IMD4/South West,2016,0.53359443,0,2.2764783,3.7542236,4.4657807,1.3580867,0,2.4429569,0,0
903,IMD4/South West,2017,0.5336414,3.0627558,5.5272436,3.7000494,2.3572118,0,0,0,0,0
904,IMD4/South West,2018,0.2663098,2.0378428,2.1558461,6.0492406,3.6373777,1.1786476,0,2.3399477,0,6.2336369
905,IMD4/South West,2019,8.8159389,119.15401,104.90648,143.79427,138.68774,88.199799,75.484085,61.092884,25.412039,30.229746
906,IMD4/South West,2020,8.9251337,102.67366,124.93472,128.1992,129.01305,97.594582,74.693062,35.680836,32.418415,29.661268
907,IMD4/South West,2021,6.854497,86.965973,158.76012,199.88242,170.10451,151.60072,107.10248,93.39521,58.725212,54.773083
908,IMD4/South West,2022,0.42314252,0,4.114295,0,0,0,0,0,0,0
909,IMD4/South West,2023,0.14104751,1.0992514,2.0571475,2.2272458,3.7772908,0,0,0,0,0
910,,,,,,,,,,,,
911,IMD4/West Midlands,All Years,,,,,,,,,,
912,IMD4/West Midlands,2016,0.70592678,0,2.9291582,4.8334866,5.8847761,1.7173868,0,3.2544668,0,0
913,IMD4/West Midlands,2017,0.70591182,3.886111,7.1464305,4.8017669,3.0972698,0,0,0,0,0
914,IMD4/West Midlands,2018,0.35283077,2.594774,2.7875731,7.9263167,4.7590342,1.5506761,0,3.0444181,0,8.7850304
915,IMD4/West Midlands,2019,11.651781,150.68654,135.55095,189.19553,182.31982,117.13934,96.486626,79.157997,34.902275,42.527855
916,IMD4/West Midlands,2020,11.771175,130.41588,160.93925,170.21407,170.4024,130.73303,96.261833,46.441425,44.067963,42.094627
917,IMD4/West Midlands,2021,8.1012354,115.31199,219.04967,281.31723,246.14157,229.61079,167.15161,143.82022,97.465889,90.194565
918,IMD4/West Midlands,2022,0.54953104,0,5.2375216,0,0,0,0,0,0,0
919,IMD4/West Midlands,2023,0.18317702,1.3693753,2.6187608,2.903769,4.9805756,0,0,0,0,0
920,,,,,,,,,,,,
921,IMD4/Yorkshire and The Humber,All Years,,,,,,,,,,
922,IMD4/Yorkshire and The Humber,2016,0.6931268,0,3.1410489,5.3365588,6.6671109,2.1125569,0,3.8093786,0,0
923,IMD4/Yorkshire and The Humber,2017,0.6965692,4.2826552,7.6738906,5.2309461,3.5246017,0,0,0,0,0
924,IMD4/Yorkshire and The Humber,2018,0.34878936,2.8601665,2.9980512,8.5897369,5.4174113,1.8364798,0,3.628052,0,11.239744
925,IMD4/Yorkshire and The Humber,2019,11.532171,167.58405,145.92363,204.29872,207.27859,136.83339,118.89377,95.365921,42.222088,54.668709
926,IMD4/Yorkshire and The Humber,2020,11.681042,144.69876,174.83018,182.61685,192.43224,151.82095,119.57253,56.000839,53.387115,54.842602
927,IMD4/Yorkshire and The Humber,2021,9.3452768,115.82117,207.67075,254.62231,212.53375,183.8136,127.33747,112.78328,71.858932,66.206375
928,IMD4/Yorkshire and The Humber,2022,0.53497773,0,5.6505156,0,0,0,0,0,0,0
929,IMD4/Yorkshire and The Humber,2023,0.17832591,1.4850456,2.8252578,3.1074719,5.4269176,0,0,0,0,0
930,,,,,,,,,,,,
931,IMD5/East Midlands,All Years,,,,,,,,,,
932,IMD5/East Midlands,2016,0.67013574,6.0180058,4.1804857,6.1477928,5.5499287,0,2.4937656,0,0,0
933,IMD5/East Midlands,2017,0.16721345,9.5077372,6.7387261,4.6088614,4.3996658,1.5811777,4.8722258,0,5.4623914,0
934,IMD5/East Midlands,2018,0.83705962,4.7477746,17.094915,15.136149,6.0582194,4.5130429,2.317873,3.2014341,0,0
935,IMD5/East Midlands,2019,12.541764,105.24573,167.19206,173.26622,165.00887,88.226212,120.00349,55.323334,31.057508,18.876829
936,IMD5/East Midlands,2020,10.649131,101.9637,151.91937,167.28976,142.37436,103.14071,90.13623,54.709583,45.613503,18.528812
937,IMD5/East Midlands,2021,8.3230038,120.89689,207.42244,220.07347,233.30904,201.76004,182.80492,95.08847,79.59671,70.150826
938,IMD5/East Midlands,2022,0.34699813,2.5192723,2.4956326,1.3988754,1.6040035,1.5683814,1.7619282,0,0,0
939,IMD5/East Midlands,2023,0,1.2596362,1.2478163,1.3988754,6.4160142,1.5683814,0,2.961822,0,0
940,,,,,,,,,,,,
941,IMD5/East of England,All Years,,,,,,,,,,
942,IMD5/East of England,2016,0.43561122,4.2242575,2.9776676,4.5441117,4.1719685,0,1.7712282,0,0,0
943,IMD5/East of England,2017,0.109268,6.7445664,4.8176985,3.3822253,3.3522174,1.1686475,3.5095723,0,3.5697713,0
944,IMD5/East of England,2018,0.54806715,3.3631251,12.21265,11.110618,4.6474881,3.3436987,1.6852607,2.1486893,0,0
945,IMD5/East of England,2019,8.2270765,75.026344,120.22099,126.37817,126.29989,65.910889,88.088791,37.671879,20.275064,11.761938
946,IMD5/East of England,2020,7.0060439,72.392181,109.81457,122.60128,108.83345,77.491463,66.959869,37.491409,29.761906,11.353315
947,IMD5/East of England,2021,6.1331553,80.482895,131.1494,136.64436,140.11034,115.08889,106.06563,55.761631,47.522869,40.978008
948,IMD5/East of England,2022,0.22364585,1.7634974,1.7906545,1.0251154,1.1943864,1.1939158,1.2838289,0,0,0
949,IMD5/East of England,2023,0,0.88174868,0.89532727,1.0251154,4.7775455,1.1939158,0,2.0827258,0,0
950,,,,,,,,,,,,
951,IMD5/London,All Years,,,,,,,,,,
952,IMD5/London,2016,0.60407633,6.7710309,4.8053823,7.5431848,7.465054,0,3.2029724,0,0,0
953,IMD5/London,2017,0.15217759,10.722424,7.8314667,5.5921116,5.8933306,2.181025,6.3361316,0,6.0201073,0
954,IMD5/London,2018,0.76036376,5.3393135,19.85248,18.227552,8.0737944,6.2575612,3.0721023,3.9000039,0,0
955,IMD5/London,2019,11.426778,119.23422,194.89407,207.98967,218.46989,122.1772,162.6834,68.378662,35.366932,18.896448
956,IMD5/London,2020,9.7825975,114.19205,179.55681,201.84291,186.98886,142.93192,124.76253,67.84005,53.327015,18.274855
957,IMD5/London,2021,8.3841877,125.37174,209.12949,223.56006,233.1342,201.15988,188.72375,97.49894,82.661705,72.966072
958,IMD5/London,2022,0.32191449,2.7833831,2.9219689,1.7307326,2.0904322,2.1932712,2.4710271,0,0,0
959,IMD5/London,2023,0,1.3916916,1.4609845,1.7307326,8.3617287,2.1932712,0,3.9271128,0,0
960,,,,,,,,,,,,
961,IMD5/North East,All Years,,,,,,,,,,
962,IMD5/North East,2016,1.966027,16.978506,11.04891,16.429804,15.316868,0,6.47333,0,0,0
963,IMD5/North East,2017,0.49579319,27.503696,18.115286,12.099214,12.140343,4.3919363,12.830382,0,14.448779,0
964,IMD5/North East,2018,2.4787571,13.99678,46.55827,39.610237,16.468361,12.428021,6.2566476,8.5077419,0,0
965,IMD5/North East,2019,37.233593,316.7598,463.50351,451.02841,445.94482,241.56534,325.50156,146.52014,81.833061,53.937431
966,IMD5/North East,2020,31.736744,308.88873,428.34756,436.6149,382.22446,280.88776,246.34679,143.75848,119.3001,51.733059
967,IMD5/North East,2021,24.458847,316.31601,517.63306,532.40546,540.12347,431.44995,382.47775,207.43146,163.5323,142.85715
968,IMD5/North East,2022,1.0154036,7.4060359,7.0929532,3.6886759,4.050715,4.1478286,4.7826295,0,0,0
969,IMD5/North East,2023,0,3.703018,3.5464766,3.6886759,16.20286,4.1478286,0,7.9182835,0,0
970,,,,,,,,,,,,
971,IMD5/North West,All Years,,,,,,,,,,
972,IMD5/North West,2016,0.71195281,5.8942108,3.9777248,5.912961,5.2181172,0,2.1722603,0,0,0
973,IMD5/North West,2017,0.17943367,9.4803581,6.457612,4.4187827,4.189827,1.4649439,4.2782578,0,4.9002795,0
974,IMD5/North West,2018,0.90456808,4.7915668,16.458405,14.495905,5.812264,4.1857352,2.0755069,2.8107257,0,0
975,IMD5/North West,2019,13.622221,107.41398,162.05251,165.46136,158.84091,82.527542,108.26345,48.772556,28.034763,16.670834
976,IMD5/North West,2020,11.673656,104.47009,148.94467,160.13368,137.67229,96.753975,83.141228,47.822739,41.297665,16.321201
977,IMD5/North West,2021,8.6931953,109.42311,176.43625,185.4529,190.16249,160.2209,144.03061,77.24601,65.256401,59.055119
978,IMD5/North West,2022,0.36200666,2.4907532,2.4072893,1.3136634,1.4932728,1.4625014,1.5962965,0,0,0
979,IMD5/North West,2023,0,1.2453766,1.2036446,1.3136634,5.9730911,1.4625014,0,2.5566947,0,0
980,,,,,,,,,,,,
981,IMD5/South East,All Years,,,,,,,,,,
982,IMD5/South East,2016,0.22940765,2.1826723,1.5163308,2.3621397,2.1727204,0,0.90148562,0,0,0
983,IMD5/South East,2017,0.05758176,3.4688046,2.4628236,1.7467248,1.7380422,0.60390121,1.7702092,0,1.7447439,0
984,IMD5/South East,2018,0.28832319,1.7404016,6.2360888,5.7105656,2.4060874,1.7320216,0.84901178,1.1009579,0,0
985,IMD5/South East,2019,4.3346539,38.997459,61.183502,64.74334,65.821037,34.123093,44.24921,19.266998,10.013184,5.3892379
986,IMD5/South East,2020,3.7023818,37.780968,55.898926,62.615021,56.534031,40.157234,33.731724,19.055483,14.754582,5.349596
987,IMD5/South East,2021,2.7978637,40.587479,68.735321,73.65863,77.66452,66.847771,61.193073,31.61512,27.008169,24.435938
988,IMD5/South East,2022,0.11831561,0.90907025,0.90784466,0.52093643,0.61607844,0.61261374,0.66163385,0,0,0
989,IMD5/South East,2023,0,0.45453513,0.45392233,0.52093643,2.4643137,0.61261374,0,1.0506961,0,0
990,,,,,,,,,,,,
991,IMD5/South West,All Years,,,,,,,,,,
992,IMD5/South West,2016,0.62857306,6.0016084,4.024415,5.8311586,5.1528463,0,2.1034918,0,0,0
993,IMD5/South West,2017,0.15765162,9.5219955,6.5326176,4.3558435,4.0873051,1.4120305,4.109561,0,4.0630589,0
994,IMD5/South West,2018,0.78844827,4.7748652,16.566841,14.318442,5.6367402,4.0466714,1.9686589,2.5741351,0,0
995,IMD5/South West,2019,11.906482,107.36992,162.29945,163.86264,153.36543,79.467041,102.39606,45.156921,23.454908,13.136289
996,IMD5/South West,2020,10.158472,103.50328,149.14334,158.507,132.12724,93.424744,77.936798,44.646179,34.704815,12.937448
997,IMD5/South West,2021,7.7089539,105.05485,174.83397,186.53429,196.16772,161.2101,144.47279,76.234673,63.870556,53.811661
998,IMD5/South West,2022,0.32800221,2.520606,2.410074,1.3129218,1.4720169,1.4159693,1.5349666,0,0,0
999,IMD5/South West,2023,0,1.260303,1.205037,1.3129218,5.8880677,1.4159693,0,2.4430165,0,0
1000,,,,,,,,,,,,
1001,IMD5/West Midlands,All Years,,,,,,,,,,
1002,IMD5/West Midlands,2016,0.89336962,7.6214867,5.2453055,7.6581407,6.9605165,0,2.7766979,0,0,0
1003,IMD5/West Midlands,2017,0.22447093,12.27088,8.4977655,5.7278142,5.4934993,1.8855118,5.5010037,0,6.1804695,0
1004,IMD5/West Midlands,2018,1.127261,6.1813293,21.576048,18.977854,7.5846639,5.4326177,2.6404035,3.5720665,0,0
1005,IMD5/West Midlands,2019,16.947773,138.52356,212.58296,218.35294,207.58963,107.9797,136.34785,61.588997,35.67606,21.276596
1006,IMD5/West Midlands,2020,14.454653,134.006,195.10802,212.49469,179.31387,127.48003,103.3786,60.368248,52.493439,20.552872
1007,IMD5/West Midlands,2021,10.149911,147.56602,253.76541,278.00885,295.96744,257.07645,236.31932,126.54049,106.25111,95.709045
1008,IMD5/West Midlands,2022,0.45284319,3.1756618,3.1345997,1.7348763,1.9650612,1.9034929,2.0871599,0,0,0
1009,IMD5/West Midlands,2023,0,1.5878309,1.5672998,1.7348763,7.8602448,1.9034929,0,3.2941332,0,0
1010,,,,,,,,,,,,
1011,IMD5/Yorkshire and The Humber,All Years,,,,,,,,,,
1012,IMD5/Yorkshire and The Humber,2016,0.85418248,7.6522803,5.1546392,7.6637163,6.8581228,0,2.8810141,0,0,0
1013,IMD5/Yorkshire and The Humber,2017,0.21562691,12.327227,8.3839159,5.6806345,5.476851,1.9560285,5.7608666,0,6.3307166,0
1014,IMD5/Yorkshire and The Humber,2018,1.0859815,6.2231627,21.428453,18.628912,7.5342336,5.5435448,2.7932181,3.5444653,0,0
1015,IMD5/Yorkshire and The Humber,2019,16.403698,139.69769,211.11327,212.60997,204.96121,108.32476,147.25963,61.908855,35.883022,21.965952
1016,IMD5/Yorkshire and The Humber,2020,14.041307,136.04353,193.67029,205.64725,176.66472,127.01707,111.93935,61.08321,51.496254,21.51926
1017,IMD5/Yorkshire and The Humber,2021,11.371552,146.74516,234.38159,243.42093,243.47826,196.38156,174.72495,92.410301,76.942802,62.526054
1018,IMD5/Yorkshire and The Humber,2022,0.44432694,3.2591867,3.1584599,1.7007092,1.9372711,1.9131799,2.1441743,0,0,0
1019,IMD5/Yorkshire and The Humber,2023,0,1.6295934,1.57923,1.7007092,7.7490845,1.9131799,0,3.4594893,0,0
1020,,,,,,,,,,,,
1021,IMD1/Emergency route,All Years,,,,,,,,,,
1022,IMD1/Emergency route,2016,0.089697674,0.86626589,1.516796,1.2218715,1.093434,2.0581517,1.8430326,1.4960505,0.80386496,0
1023,IMD1/Emergency route,2017,0.05103546,0.42810112,2.1211157,1.9845877,3.1508539,1.3679105,1.8592476,0.99402094,0,2.7761583
1024,IMD1/Emergency route,2018,0.089024931,0.70705158,1.1106492,1.9284692,1.3632739,2.1039066,2.2293065,0.98297006,0.80345809,0
1025,IMD1/Emergency route,2019,0,0,0,0,0,0,0,0,0,0
1026,IMD1/Emergency route,2020,0,0,0,0,0,0,0,0,0,0
1027,IMD1/Emergency route,2021,0,0,0,0,0,0,0,0,0,0
1028,IMD1/Emergency route,2022,0.10232849,1.2632465,1.0328064,2.7673235,3.5188577,2.6305199,2.052798,1.6075619,0.92444509,0
1029,IMD1/Emergency route,2023,0.063955314,0.56144291,1.1803501,3.2861967,2.1992862,1.3152599,1.3685319,2.1434159,3.6977804,1.4843402
1030,,,,,,,,,,,,
1031,IMD1/Non-emergency route,All Years,,,,,,,,,,
1032,IMD1/Non-emergency route,2016,1.089186,16.170296,19.886881,20.568171,22.524738,16.759235,9.2151632,6.4828854,3.2154598,2.7917364
1033,IMD1/Non-emergency route,2017,0.94415599,12.843034,17.947903,21.036629,21.155733,13.679105,11.899184,7.4551573,3.2039473,2.7761583
1034,IMD1/Non-emergency route,2018,1.0301456,13.57539,21.419664,23.720171,21.130745,19.461138,13.375839,12.287126,1.6069162,5.6138773
1035,IMD1/Non-emergency route,2019,0,0,0,0,0,0,0,0,0,0
1036,IMD1/Non-emergency route,2020,0,0,0,0,0,0,0,0,0,0
1037,IMD1/Non-emergency route,2021,0,0,0,0,0,0,0,0,0,0
1038,IMD1/Non-emergency route,2022,0.94653863,11.088497,15.787183,22.830418,19.793575,18.676691,9.9218569,9.1095181,4.6222253,4.4530206
1039,IMD1/Non-emergency route,2023,0.93374753,10.386694,15.049464,19.544222,24.632004,16.309223,14.027452,10.181226,5.5466704,0
1040,,,,,,,,,,,,
1041,IMD2/Emergency route,All Years,,,,,,,,,,
1042,IMD2/Emergency route,2016,0.091323391,0.53819865,1.0898352,1.6456,0.74018013,1.4473735,0.93811858,0.42040476,0,1.1289231
1043,IMD2/Emergency route,2017,0.039036818,0.66518819,0.60298353,1.6074557,0.96017575,0.66671109,0.93245018,0.82951754,1.3107706,0
1044,IMD2/Emergency route,2018,0.090839319,0.79385555,1.1702528,0.52373296,0.58541727,0.63829648,1.2199473,1.2216028,0.65705615,2.2447696
1045,IMD2/Emergency route,2019,0,0,0,0,0,0,0,0,0,0
1046,IMD2/Emergency route,2020,0,0,0,0,0,0,0,0,0,0
1047,IMD2/Emergency route,2021,0,0,0,0,0,0,0,0,0,0
1048,IMD2/Emergency route,2022,0.067542799,0.268702,1.3689554,1.2672123,1.5527136,1.2976311,2.3703923,1.6418676,0,0
1049,IMD2/Emergency route,2023,0.081051357,1.34351,1.6427464,1.1088108,1.3586245,1.0813593,1.8436384,0.41046691,0,1.1412138
1050,,,,,,,,,,,,
1051,IMD2/Non-emergency route,All Years,,,,,,,,,,
1052,IMD2/Non-emergency route,2016,0.8219105,10.763973,14.634929,18.467289,12.583062,11.578988,10.944716,7.567286,7.9433899,3.3867691
1053,IMD2/Non-emergency route,2017,0.80676085,11.308199,12.964147,19.110863,17.283163,12.0008,6.5271516,4.1475878,2.6215413,3.3709381
1054,IMD2/Non-emergency route,2018,0.71373755,10.320123,16.237257,19.028965,13.854875,11.702103,10.064566,6.9224162,5.2564492,1.1223848
1055,IMD2/Non-emergency route,2019,0,0,0,0,0,0,0,0,0,0
1056,IMD2/Non-emergency route,2020,0,0,0,0,0,0,0,0,0,0
1057,IMD2/Non-emergency route,2021,0,0,0,0,0,0,0,0,0,0
1058,IMD2/Non-emergency route,2022,0.59437662,9.6732721,13.415763,14.731343,18.244385,14.706487,10.535076,9.8512058,4.0571241,4.5648551
1059,IMD2/Non-emergency route,2023,0.60788518,9.4045696,16.975046,20.909002,16.497583,17.301748,11.325208,8.2093382,5.4094992,4.5648551
1060,,,,,,,,,,,,
1061,IMD3/Emergency route,All Years,,,,,,,,,,
1062,IMD3/Emergency route,2016,0.028554289,0.37982762,0.86111259,0.48881829,0.77897274,0.98733836,0.26437962,0,0.56354219,0
1063,IMD3/Emergency route,2017,0,0.50103587,0.69615585,0.96022123,0.98030728,0.36112231,0.78200144,0.34625798,0,0.94576955
1064,IMD3/Emergency route,2018,0.056961555,1.0002151,0.94925165,1.2561768,1.1706997,1.5526692,1.0119562,0.67494601,2.179682,0.93725103
1065,IMD3/Emergency route,2019,0,0,0,0,0,0,0,0,0,0
1066,IMD3/Emergency route,2020,0,0,0,0,0,0,0,0,0,0
1067,IMD3/Emergency route,2021,0,0,0,0,0,0,0,0,0,0
1068,IMD3/Emergency route,2022,0.044498581,0.65358198,0.12758535,0.86148477,0.51029176,0.71596056,0.62181836,0.32811952,0,1.8188267
1069,IMD3/Emergency route,2023,0.044498581,1.0457312,1.2758536,1.1486464,1.360778,0.17899014,1.036364,0,1.5603626,1.8188267
1070,,,,,,,,,,,,
1071,IMD3/Non-emergency route,All Years,,,,,,,,,,
1072,IMD3/Non-emergency route,2016,1.0279543,7.3433337,15.930583,14.17573,14.333098,10.268319,6.6094904,4.586185,3.3812532,1.9153786
1073,IMD3/Non-emergency route,2017,1.0416516,10.396495,13.644654,12.002766,12.743995,14.08377,6.5166788,4.5013537,3.8548803,2.8373086
1074,IMD3/Non-emergency route,2018,0.98258686,10.127177,15.188026,14.9171,12.208726,8.7984581,11.131519,6.7494602,7.6288872,3.7490041
1075,IMD3/Non-emergency route,2019,0,0,0,0,0,0,0,0,0,0
1076,IMD3/Non-emergency route,2020,0,0,0,0,0,0,0,0,0,0
1077,IMD3/Non-emergency route,2021,0,0,0,0,0,0,0,0,0,0
1078,IMD3/Non-emergency route,2022,0.78614157,12.156625,15.820584,18.23476,16.839626,9.4864769,8.9127302,7.2186294,3.1207252,5.45648
1079,IMD3/Non-emergency route,2023,0.7119773,9.9344454,11.099926,17.660437,16.669531,12.171329,12.850913,7.8748684,4.1609669,6.3658934
1080,,,,,,,,,,,,
1081,IMD4/Emergency route,All Years,,,,,,,,,,
1082,IMD4/Emergency route,2016,0.046213411,0.61386377,0.41670543,0.15654057,1.0135013,0.36100367,1.4696265,0.32744694,0,0
1083,IMD4/Emergency route,2017,0,0.12182628,0.67598629,1.0796554,0.7654143,0.49265048,0.96508563,0.64016795,0.51643825,0
1084,IMD4/Emergency route,2018,0.092597552,0.36589649,1.3170147,1.2127221,0.78826433,0.94003075,0.93158227,0,0.50757557,1.7670498
1085,IMD4/Emergency route,2019,0,0,0,0,0,0,0,0,0,0
1086,IMD4/Emergency route,2020,0,0,0,0,0,0,0,0,0,0
1087,IMD4/Emergency route,2021,0,0,0,0,0,0,0,0,0,0
1088,IMD4/Emergency route,2022,0.01599458,0.64431995,0.74847215,0.69725573,1.6161067,1.1532581,0.55419677,0.59174573,0.92560881,0.83164924
1089,IMD4/Emergency route,2023,0.0799729,0.51545596,1.2474537,0.83670688,0.80805337,0.65900463,1.2931257,1.7752372,0.46280441,0.83164924
1090,,,,,,,,,,,,
1091,IMD4/Non-emergency route,All Years,,,,,,,,,,
1092,IMD4/Non-emergency route,2016,0.95507717,10.067366,11.112145,14.245193,12.596374,11.191113,7.1031947,4.9117041,3.1870139,0.91224229
1093,IMD4/Non-emergency route,2017,1.0031873,10.355233,14.871697,17.737196,12.246629,10.34566,8.685771,9.2824354,2.5821912,2.6909933
1094,IMD4/Non-emergency route,2018,0.83337796,10.976895,13.433549,15.765387,14.661716,11.280369,6.055285,6.8374581,2.0303023,1.7670498
1095,IMD4/Non-emergency route,2019,0,0,0,0,0,0,0,0,0,0
1096,IMD4/Non-emergency route,2020,0,0,0,0,0,0,0,0,0,0
1097,IMD4/Non-emergency route,2021,0,0,0,0,0,0,0,0,0,0
1098,IMD4/Non-emergency route,2022,0.60779405,6.9586554,11.975554,15.200175,16.80751,10.544074,7.3892899,6.8050761,2.7768264,0.83164924
1099,IMD4/Non-emergency route,2023,0.76773983,9.0204792,14.719953,15.618528,15.191403,12.521089,8.682416,7.1009488,5.5536528,7.4848433
1100,,,,,,,,,,,,
1101,IMD5/Emergency route,All Years,,,,,,,,,,
1102,IMD5/Emergency route,2016,0.064116813,0.72037286,0.55149668,0.46840382,0.85491395,0.52983779,0.71692467,0.62870938,1.5070454,0
1103,IMD5/Emergency route,2017,0.032208301,0.35903504,0.5369913,0.46444303,0.45434582,0.31935415,0.47096613,0.6128822,0,0
1104,IMD5/Emergency route,2018,0.016144766,0.36025131,0.52442646,0.91395009,1.0975519,0.76146382,0.67957866,0.29705766,0.47957492,1.6799664
1105,IMD5/Emergency route,2019,0,0,0,0,0,0,0,0,0,0
1106,IMD5/Emergency route,2020,0,0,0,0,0,0,0,0,0,0
1107,IMD5/Emergency route,2021,0,0,0,0,0,0,0,0,0,0
1108,IMD5/Emergency route,2022,0.049724139,0.62841624,0.62346548,0.5597412,0.80864406,0.32037985,0.70235819,0.28220367,0.85493469,0.77077234
1109,IMD5/Emergency route,2023,0.06629885,0.2513665,0.74815857,0.2798706,1.1321017,1.4417093,0.70235819,0.56440735,1.282402,0.77077234
1110,,,,,,,,,,,,
1111,IMD5/Non-emergency route,All Years,,,,,,,,,,
1112,IMD5/Non-emergency route,2016,0.83351862,9.1247225,12.822298,12.803038,9.6890249,6.1814413,7.6471968,4.4009657,5.0234847,3.5214987
1113,IMD5/Non-emergency route,2017,0.8857283,8.7365198,11.008322,11.920704,8.0267763,9.2612696,5.8870764,3.6772931,3.4286499,2.5643437
1114,IMD5/Non-emergency route,2018,0.72651446,10.447288,12.061809,15.537151,12.073071,7.9192238,6.7957864,3.5646918,3.3570244,0.83998322
1115,IMD5/Non-emergency route,2019,0,0,0,0,0,0,0,0,0,0
1116,IMD5/Non-emergency route,2020,0,0,0,0,0,0,0,0,0,0
1117,IMD5/Non-emergency route,2021,0,0,0,0,0,0,0,0,0,0
1118,IMD5/Non-emergency route,2022,0.6464138,8.6721439,14.215014,13.153917,10.99756,11.373485,8.6038876,7.0550919,3.4197388,3.0830894
1119,IMD5/Non-emergency route,2023,0.61326438,7.289628,12.968082,15.672753,15.525967,10.892915,10.008604,7.6194992,5.5570755,1.5415447
1120,,,,,,,,,,,,
1121,IMD1/Early,All Years,,,,,,,,,,
1122,IMD1/Early,2016,0.10251162,2.021287,2.5279932,2.443743,2.186868,2.6461949,1.474426,0,0,0
1123,IMD1/Early,2017,0.11482978,0.71350187,1.6316274,1.7861289,3.6009758,1.3679105,1.487398,0.99402094,0.80098683,0
1124,IMD1/Early,2018,0.11446062,0.98987222,1.4279776,1.9284692,2.4993353,2.6298833,1.8577554,1.4744551,0.80345809,2.8069386
1125,IMD1/Early,2019,0.45763925,7.1768618,8.3396397,12.75381,7.2323251,7.4476609,4.4053025,3.8784494,0,1.3760836
1126,IMD1/Early,2020,0.55945152,6.7660236,10.711952,8.3617964,7.1937757,6.5491018,4.7505593,1.9599676,0.81313372,1.4007564
1127,IMD1/Early,2021,0.61811703,6.0357947,7.4014449,10.842377,9.1066713,8.2342014,4.2033191,3.103641,0.55572844,0
1128,IMD1/Early,2022,0,0,0,0,0,0,0,0,0,0
1129,IMD1/Early,2023,0,0,0,0,0,0,0,0,0,0
1130,,,,,,,,,,,,
1131,IMD1/Advanced,All Years,,,,,,,,,,
1132,IMD1/Advanced,2016,1.0635581,14.72652,18.707151,18.735363,20.556559,14.407062,9.2151632,5.4855185,2.4115949,2.7917364
